uuid,code_menage,nom_chef,commune,date_enquete,enqueteur,satisfaction,delai_reception_jours,montant_recu_htg,utilisation_principale,connait_mecanisme_plainte,score_fcs,score_rcsi,telephone,gps_latitude,gps_longitude,duree_entretien_min
uuid:000062-acted,MEN-00316,Duverger,Gonaive,2025-09-28,ENQ06 Josue Belizaire,5,11,12000,Nourriture,oui,18.7,13,+50935594083,18.41781,-73.4676,21
uuid:000219-acted,MEN-00527,Georges,Cap-Haitien,2025-12-24,ENQ02 Kervens Sanon,1,9,7500,Agriculture,oui,50.2,2,50937,19.2486,-74.04716,23
uuid:000016-acted,MEN-00746,Cadet,Gros-Morne,2025-09-18,ENQ01 Mirlande Delva,1,2,9000,Education,oui,41.7,16,+50940076668,18.8905,-73.73898,17
uuid:000562-acted,MEN-00111,Belizaire,Gros-Morne,2025-11-17,ENQ02 Kervens Sanon,4,4,6000,Sante,oui,34.7,15,+50946874538,19.26296,-73.59105,26
uuid:000293-acted,MEN-00248,Casseus,Leogane,26/11/2025,ENQ05 Nadege Augustin,4,13,6000,Nourriture,oui,50.3,2,+50946998634,19.20125,-73.42388,29
uuid:000495-acted,MEN-00942,Cheri,Gros-Morne,2025-11-04,ENQ01 Mirlande Delva,4,15,7500,Nourriture,oui,48.3,26,+50946014559,19.77625,-73.81337,34
uuid:000282-acted,MEN-00974,Belizaire,st marc,2026-02-22,ENQ05 Nadege Augustin,4,14,12000,Education,non,30.6,17,+50946468556,19.6122,-74.11108,13
uuid:000041-acted,MEN-00208,Alexis,Mirebalais,2026-03-01,ENQ01 Mirlande Delva,3,3,7500,Nourriture,oui,33.4,12,+50941302970,18.43197,-73.4861,27
uuid:000400-acted,MEN-01191,Fils-Aime,Verrettes,2025-10-26,ENQ05 Nadege Augustin,4,3,12000,Dette,oui,27.2,20,+50942806153,19.66102,-73.26992,17
uuid:000274-acted,MEN-00733,Moise,Cap-Haitien,07/03/2026,ENQ05 Nadege Augustin,4,5,12000,Nourriture,oui,23.2,27,+50948392519,18.95256,-72.92308,20
uuid:000084-acted,MEN-00455,Moise,gonaives,2026-02-01,ENQ02 Kervens Sanon,4,11,7500,Nourriture,non,24.7,12,+50947438530,,,34
uuid:000048-acted,MEN-00990,Casseus,St-Marc,2026-02-21,ENQ06 Josue Belizaire,5,7,12000,Sante,oui,58.0,14,+50936381115,18.51836,-72.75584,16
uuid:000200-acted,MEN-00326,Estime,Saint-Marc,2025-11-05,ENQ05 Nadege Augustin,3,4,7500,Education,oui,34.8,10,+50946021524,18.94916,-73.59523,26
uuid:000486-acted,MEN-00319,Charles,Mirebalais,2025-09-24,ENQ04 Wisly Dorvil,4,10,6000,Nourriture,non,30.1,11,+50943059106,19.45413,-72.79942,21
uuid:000346-acted,MEN-00424,Cheri,Mirebalais,2025-12-03,ENQ05 Nadege Augustin,5,6,9000,Nourriture,oui,21.8,18,+50949701624,19.5078,-73.24825,27
uuid:000458-acted,MEN-00235,Delva,St-Marc,2025-11-28,ENQ04 Wisly Dorvil,5,3,9000,Nourriture,non,35.1,4,+50943028193,19.48272,-72.07798,23
uuid:000180-acted-bis,MEN-00282,Belizaire,Verrettes,2026-02-13,ENQ02 Kervens Sanon,5,14,7500,Nourriture,oui,13.3,11,+50930549404,,,28
uuid:000459-acted,MEN-00286,Pierre,DESSALINES,2026-01-07,ENQ06 Josue Belizaire,5,10,12000,Dette,oui,19.0,12,+50942263724,19.14316,-73.95733,12
uuid:000279-acted,MEN-00632,Augustin,Mirebalais,2025-12-05,ENQ05 Nadege Augustin,3,13,9000,Nourriture,non,21.9,19,+50947729586,18.50946,-72.43945,39
uuid:000509-acted,MEN-00845,Dorvil,DESSALINES,2025-10-28,ENQ06 Josue Belizaire,4,3,6000,Nourriture,oui,38.3,12,+50944392695,18.72279,-73.35542,26
uuid:000444-acted,MEN-00253,Lherisson,Gros-Morne,2026-01-22,ENQ04 Wisly Dorvil,4,8,12000,Agriculture,non,37.9,15,+50939732105,19.04241,-73.77696,14
uuid:000264-acted,MEN-00030,Augustin,Verrettes,23/09/2025,ENQ06 Josue Belizaire,4,6,9000,Nourriture,oui,43.5,2,n/a,19.23531,-73.04129,33
uuid:000126-acted,MEN-00036,Duverger,Leogane,2026-03-01,ENQ05 Nadege Augustin,4,13,7500,Nourriture,non,3.5,19,3712-4498,19.74384,-72.97004,33
uuid:000297-acted,MEN-00630,Pierre,Cap-Haitien,2025-11-04,ENQ04 Wisly Dorvil,4,17,9750,Logement,oui,39.7,25,3712-4498,18.7367,-73.41038,22
uuid:000037-acted,MEN-00380,Desir,Cap-Haitien,2025-09-03,ENQ02 Kervens Sanon,3,9,9000,Nourriture,oui,33.4,10,+50947288383,19.452,-73.19369,34
uuid:000277-acted,MEN-00970,Desir,Cap-Haitien,2026-01-02,ENQ01 Mirlande Delva,5,8,6000,Nourriture,non,56.8,29,+50940602076,19.65505,-73.93241,13
uuid:000477-acted,MEN-00941,Casseus,Mirebalais,27/09/2025,ENQ05 Nadege Augustin,4,9,6000,Education,non,38.4,28,+50944014326,19.5268,-73.51824,32
uuid:000460-acted,MEN-01067,Lafleur,Mirebalais,10-26-2025,ENQ01 Mirlande Delva,4,12,12000,Sante,oui,32.6,18,+50936126072,19.71686,-73.44425,23
uuid:000068-acted,MEN-01047,Belizaire,Gros-Morne,2025-12-19,ENQ02 Kervens Sanon,3,9,12000,Education,oui,55.5,19,+50936920867,18.69475,-72.65595,29
uuid:000083-acted,MEN-01213,Cheri,Leogane,2025-10-14,ENQ01 Mirlande Delva,4,2,12000,Logement,oui,31.8,11,+50942791099,19.70347,-72.13604,2
uuid:000448-acted,MEN-00571,Beauvoir,Cap-Haitien,2026-03-05,ENQ03 Fabiola Cheri,4,10,12000,Sante,oui,26.8,7,+50931170403,18.42743,-73.43966,30
uuid:000294-acted,MEN-00607,Duverger,Port-au-Prince,2025-11-22,ENQ04 Wisly Dorvil,4,7,7500,Nourriture,oui,37.7,20,+50944923332,18.58912,-73.93211,12
uuid:000053-acted,MEN-00867,Cheri,Verrettes,2026-03-03,ENQ04 Wisly Dorvil,4,11,7500,Nourriture,non,29.3,19,+50940836183,18.578,-72.13216,22
uuid:000315-acted,MEN-00164,Alexis,Cap-Haitien,2026-03-10,ENQ02 Kervens Sanon,3,7,6000,Nourriture,oui,35.8,24,+50930190893,19.77592,-72.64304,28
uuid:000198-acted,MEN-00279,Beauvoir,Dessalines,04/01/2026,ENQ02 Kervens Sanon,3,10,9000,Education,non,30.1,18,+50947395786,18.7843,-72.19777,26
uuid:000098-acted,MEN-00677,Moise,Gros-Morne,2026-03-10,ENQ01 Mirlande Delva,ND,15,6000,Nourriture,oui,61.3,21,+50931613793,19.1171,-73.7097,13
uuid:000287-acted,MEN-00869,Dorvil,Dessaline,03/10/2025,ENQ06 Josue Belizaire,5,2,7500,Agriculture,oui,69.7,8,+50938328183,19.46816,-73.72716,21
uuid:000077-acted,MEN-01120,Jean-Baptiste,Gonaives,2025-09-17,ENQ02 Kervens Sanon,3,4,6750,Logement,non,55.7,23,+50945978029,19.71631,-73.67121,27
uuid:000210-acted,MEN-00280,Casseus,SAINT MARC,2026-02-21,ENQ02 Kervens Sanon,4,17,7500,Nourriture,oui,31.3,0,+50939171446,19.6571,-72.00744,35
uuid:000340-acted,MEN-01217,DELVA,Leogane,2025-12-17,ENQ06 Josue Belizaire,4,13,6000,Nourriture,non,56.1,9,+50938431213,19.05861,-73.57767,26
uuid:000305-acted,MEN-00468,Lherisson,Cap-Haitien,2026-02-18,ENQ01 Mirlande Delva,2,4,6000,Nourriture,oui,42.3,0,+50933630906,19.38955,-72.34956,34
uuid:000447-acted,MEN-00323,Toussaint,Dessaline,2025-09-08,ENQ02 Kervens Sanon,4,19,7500,Nourriture,oui,22.4,16,+50931460075,19.75828,-74.00516,26
uuid:000288-acted,MEN-00276,Duverger,Gros-Morne,2025-11-27,ENQ02 Kervens Sanon,3,4,9000,Education,non,22.8,22,+50943211560,19.29053,-72.60394,17
uuid:000561-acted,MEN-01007,Desir,Leogane,2025-11-25,ENQ06 Josue Belizaire,4,5,12000,Dette,oui,40.5,19,+50946684626,18.5922,-73.78384,36
uuid:000202-acted,MEN-01009,Michel,Gros-Morne,2025-11-21,ENQ02 Kervens Sanon,2,6,6000,Nourriture,non,34.0,21,+50932037746,,,31
uuid:000489-acted,MEN-00767,Toussaint,DESSALINES,2025-09-15,ENQ04 Wisly Dorvil,4,2,6000,Sante,non,33.0,12,+50938354683,18.47895,-73.67507,28
uuid:000527-acted,MEN-00851,Pierre,gonaives,2026-02-19,ENQ06 Josue Belizaire,4,11,9000,Dette,oui,32.9,13,+50947103681,18.65402,-73.27482,22
uuid:000215-acted,MEN-01175,Lafleur,st marc,2026-03-08,ENQ03 Fabiola Cheri,2,8,6000,Sante,oui,35.2,13,+50932420277,19.04621,-73.65293,27
uuid:000091-acted,MEN-00112,Augustin,Mirebalais,2026-01-30,ENQ01 Mirlande Delva,4,10,7500,Education,oui,51.9,10,+50938888732,19.79405,-73.33531,31
uuid:000427-acted,MEN-00589,Jean-Baptiste,Mirebalais,2025-09-06,ENQ03 Fabiola Cheri,5,1,9000,Sante,non,17.2,23,+50948319803,18.83863,-74.19433,24
uuid:000129-acted,MEN-01045,Georges,DESSALINES,2025-10-14,ENQ02 Kervens Sanon,4,3,5250,Agriculture,oui,40.8,13,+50933709316,18.96707,-72.52632,12
uuid:000449-acted,MEN-00593,Cadet,Gros-Morne,2026-03-22,ENQ01 Mirlande Delva,5,3,6000,Sante,non,38.6,39,+50948919223,18.58762,-72.87677,10
uuid:000115-acted,MEN-00346,Jean-Baptiste,Gros-Morne,2025-10-13,ENQ04 Wisly Dorvil,4,7,12000,Nourriture,oui,11.5,12,+50937420123,19.19125,-74.11031,30
uuid:000047-acted,MEN-00525,Etienne,Port-au-Prince,2026-03-30,ENQ04 Wisly Dorvil,5,12,12000,Sante,oui,30.1,8,+50930457718,18.96884,-73.55203,28
uuid:000487-acted,MEN-00041,Desir,Leogane,2026-02-12,ENQ06 Josue Belizaire,5,7,7500,Sante,oui,34.2,16,+50949896194,18.56331,-73.63799,24
uuid:000248-acted,MEN-01063,Lafleur,Verrettes,2026-01-04,ENQ02 Kervens Sanon,4,13,9000,Agriculture,oui,58.6,22,+50942770383,18.95458,-72.50815,32
uuid:000543-acted,MEN-00093,Fils-Aime,DESSALINES,2025-09-02,ENQ06 Josue Belizaire,5,6,9000,Sante,oui,35.2,15,+50948822196,19.03768,-73.76404,16
uuid:000456-acted,MEN-00466,Cheri,Port-au-Prince,2026-02-08,ENQ03 Fabiola Cheri,5,0,6000,Nourriture,oui,23.7,13,+50948176217,18.99692,-72.04119,28
uuid:000050-acted,MEN-01218,CASSEUS,Saint-Marc,2025-09-28,ENQ04 Wisly Dorvil,3,3,6000,Logement,oui,36.5,18,+50939171446,19.23956,-73.34953,23
uuid:000420-acted,MEN-00404,Moise,SAINT MARC,2025-09-05,ENQ03 Fabiola Cheri,4,16,7500,Nourriture,non,28.4,17,+50946814495,19.4896,-74.10868,36
uuid:000329-acted,MEN-00992,Lherisson,Saint-Marc,2025-12-02,ENQ04 Wisly Dorvil,4,12,5500,Dette,oui,18.0,7,+50942581459,19.12722,-73.74726,34
uuid:000155-acted,MEN-00768,Etienne,Dessaline,2025-11-11,ENQ04 Wisly Dorvil,4,7,6000,Nourriture,non,49.9,19,+50947687678,19.31997,-74.16247,28
uuid:000082-acted,MEN-00022,Charles,SAINT MARC,2026-03-11,ENQ05 Nadege Augustin,5,14,9000,Nourriture,oui,33.6,25,+50939834084,18.88873,-72.31842,18
uuid:000416-acted-bis,MEN-00393,Etienne,Mirebalais,2025-11-03,ENQ03 Fabiola Cheri,tres satisfait,7,12000,Nourriture,non,27.5,9,+50937498690,19.70651,-73.29408,19
uuid:000361-acted,MEN-00666,Estime,Mirebalais,2026-03-25,ENQ01 Mirlande Delva,4,14,7500,Nourriture,oui,40.8,15,+50949114951,19.74555,-73.95117,29
uuid:000079-acted,MEN-00808,Duverger,Cap-Haitien,2025-09-13,ENQ06 Josue Belizaire,5,13,6000,Sante,oui,37.0,11,+50945771891,19.2236,-72.85264,42
uuid:000393-acted,MEN-00092,Duverger,Cap-Haitien,2025-12-10,ENQ04 Wisly Dorvil,3,11,6000,Sante,oui,36.9,5,+50947891830,,,22
